Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
MFO,Parkinsons,costNN,1,2022-03-25-11-27-45,2022-03-25-11-27-46,0.9264085292816162,0.625,55.0,41.0,7.0,25.0,0.6716417910447762,30.0,21.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
MFO,Parkinsons,costNN,2,2022-03-25-11-27-46,2022-03-25-11-27-47,0.9202322959899902,0.7109375,67.0,29.0,8.0,24.0,0.6567164179104478,35.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0
CS,Parkinsons,costNN,1,2022-03-25-11-27-47,2022-03-25-11-27-48,1.3299975395202637,0.765625,85.0,11.0,19.0,13.0,0.7313432835820896,44.0,7.0,11.0,5.0,0.3162202150478571,0.3162202150478571,0.3162202150478571,0.2792250478883396,0.2792250478883396
CS,Parkinsons,costNN,2,2022-03-25-11-27-48,2022-03-25-11-27-49,1.3107104301452637,0.6640625,68.0,28.0,15.0,17.0,0.7164179104477612,41.0,10.0,9.0,7.0,0.41666252366069456,0.3666407196695305,0.3666407196695305,0.3666407196695305,0.26490956857617615
BAT,Parkinsons,costNN,1,2022-03-25-11-27-49,2022-03-25-11-27-50,0.7199769020080566,0.1640625,5.0,91.0,16.0,16.0,0.1791044776119403,3.0,48.0,7.0,9.0,0.25273852935513297,0.25273852935513297,0.25273852935513297,0.25273852935513297,0.25273852935513297
BAT,Parkinsons,costNN,2,2022-03-25-11-27-50,2022-03-25-11-27-51,0.7377195358276367,0.734375,76.0,20.0,14.0,18.0,0.7014925373134329,39.0,12.0,8.0,8.0,0.25613718812459907,0.18638418413572294,0.18445175689595195,0.18112744820313495,0.17703184802112024
PSO,Vertebral,costNN,1,2022-03-25-11-27-51,2022-03-25-11-27-52,0.8710014820098877,0.6617647058823529,134.0,1.0,68.0,1.0,0.7075471698113207,75.0,0.0,31.0,0.0,0.20500630581370755,0.1681810415548045,0.1681810415548045,0.1681810415548045,0.1681810415548045
PSO,Vertebral,costNN,2,2022-03-25-11-27-52,2022-03-25-11-27-53,0.873969316482544,0.5686274509803921,49.0,86.0,2.0,67.0,0.44339622641509435,18.0,57.0,2.0,29.0,0.218045497559673,0.218045497559673,0.218045497559673,0.2104020878378508,0.20438522282863186
MVO,Vertebral,costNN,1,2022-03-25-11-27-53,2022-03-25-11-27-53,0.84521484375,0.7892156862745098,114.0,21.0,22.0,47.0,0.7264150943396226,59.0,16.0,13.0,18.0,0.1722536057088357,0.1722536057088357,0.1722536057088357,0.1722536057088357,0.16981365338286625
MVO,Vertebral,costNN,2,2022-03-25-11-27-53,2022-03-25-11-27-54,0.8192224502563477,0.803921568627451,128.0,7.0,33.0,36.0,0.8490566037735849,72.0,3.0,13.0,18.0,0.21109977736383687,0.15471024982604015,0.1503266654224091,0.1503266654224091,0.14625576724246667
GWO,Vertebral,costNN,1,2022-03-25-11-27-54,2022-03-25-11-27-55,0.8870437145233154,0.6470588235294118,86.0,49.0,23.0,46.0,0.6226415094339622,47.0,28.0,12.0,19.0,0.23399392090301285,0.23399392090301285,0.20992177873878337,0.20355459626648686,0.20355459626648686
GWO,Vertebral,costNN,2,2022-03-25-11-27-55,2022-03-25-11-27-56,0.8784084320068359,0.7303921568627451,125.0,10.0,45.0,24.0,0.7830188679245284,70.0,5.0,18.0,13.0,0.2055532259666387,0.17907228824509477,0.17907228824509477,0.17907228824509477,0.17907228824509477
MFO,Vertebral,costNN,1,2022-03-25-11-27-56,2022-03-25-11-27-57,0.8449563980102539,0.7009803921568627,116.0,19.0,42.0,27.0,0.7075471698113207,66.0,9.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0
MFO,Vertebral,costNN,2,2022-03-25-11-27-57,2022-03-25-11-27-58,0.8406713008880615,0.7794117647058824,106.0,29.0,16.0,53.0,0.7358490566037735,55.0,20.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0
CS,Vertebral,costNN,1,2022-03-25-11-27-58,2022-03-25-11-28-00,1.7804303169250488,0.696078431372549,125.0,10.0,52.0,17.0,0.7547169811320755,70.0,5.0,21.0,10.0,0.1734537874550454,0.1734537874550454,0.1734537874550454,0.1734537874550454,0.16970984283024831
CS,Vertebral,costNN,2,2022-03-25-11-28-00,2022-03-25-11-28-01,1.7721531391143799,0.7352941176470589,100.0,35.0,19.0,50.0,0.6792452830188679,54.0,21.0,13.0,18.0,0.21290992683344273,0.21290992683344273,0.21290992683344273,0.19617940923534397,0.19617940923534397
BAT,Vertebral,costNN,1,2022-03-25-11-28-01,2022-03-25-11-28-02,0.9638481140136719,0.7205882352941176,131.0,4.0,53.0,16.0,0.7830188679245284,74.0,1.0,22.0,9.0,0.18500980418324545,0.17537975809493905,0.1702974871810326,0.1675522657877671,0.16627716931365927
BAT,Vertebral,costNN,2,2022-03-25-11-28-02,2022-03-25-11-28-03,0.9676158428192139,0.6519607843137255,132.0,3.0,68.0,1.0,0.660377358490566,70.0,5.0,31.0,0.0,0.1788884924323141,0.1788884924323141,0.1788884924323141,0.1788884924323141,0.1788884924323141
